Price,Use,Transmission,Body,Fuel,Year,Mileage (km),Drivetrain,Horse Power,Engine Size (l),Make,Model,Source,Horsepower
55000.0,Foreign Used,Automatic,,Petrol,2014,,,,1.5,Mazda,2,Tonaton,101.0
110000.0,Ghanaian Used,Automatic,SUV,Petrol,2014,58000.0,Front-Wheel Drive,182.0,2.4,Hyundai,Tucson,Tonaton,182.0
220000.0,Foreign Used,Automatic,Sedan,Petrol,2018,,Front-Wheel Drive,192.0,1.5,Honda,Accord,Tonaton,192.0
475000.0,Foreign Used,Automatic,SUV,Petrol,2021,28000.0,Rear-Wheel Drive,109.0,1.5,Toyota,Rush,Tonaton,109.0
65000.0,Ghanaian Used,Automatic,,Petrol,2012,87000.0,,,1.8,Scion,xD,Tonaton,128.0
188000.0,Foreign Used,Automatic,SUV,Petrol,2017,45253.0,All-Wheel Drive,228.0,2.0,BMW,X1,Tonaton,228.0
145000.0,Foreign Used,Automatic,,Petrol,2015,,,,2.0,Mercedes-Benz,CLA-Class,Tonaton,208.0
465000.0,Foreign Used,Automatic,,Petrol,2018,,,,3.5,Ford,F-150,Tonaton,365.0
143000.0,Foreign Used,Automatic,,Petrol,2016,72000.0,,,1.5,Honda,Civic,Tonaton,174.0
375000.0,Foreign Used,Automatic,SUV,Petrol,2022,,All-Wheel Drive,190.0,1.5,Honda,CR-V,Tonaton,190.0
72000.0,Ghanaian Used,Automatic,,Petrol,2013,,,,2.5,Toyota,Camry,Tonaton,178.0
355000.0,Foreign Used,Automatic,SUV,Petrol,2015,,All-Wheel Drive,340.0,3.0,Land Rover,Range Rover Sport,Tonaton,340.0
235000.0,Foreign Used,Automatic,,Petrol,2014,32000.0,,,2.0,Land Rover,Range Rover Evoque,Tonaton,
950000.0,Foreign Used,Automatic,SUV,Petrol,2020,8873.0,Four-Wheel Drive,518.0,5.0,Land Rover,Range Rover Sport,Tonaton,518.0
55000.0,Ghanaian Used,Automatic,Sedan,Petrol,2014,110080.0,Front-Wheel Drive,138.0,1.6,Hyundai,Accent,Tonaton,138.0
525000.0,Foreign Used,Manual,,Petrol,2020,71802.0,,,2.4,Mitsubishi,L200,Tonaton,167.0
60000.0,Foreign Used,Automatic,Hatchback,Petrol,2010,,Front-Wheel Drive,132.0,1.8,Pontiac,Vibe,Tonaton,132.0
58500.0,Foreign Used,Automatic,Sedan,Petrol,2008,,Front-Wheel Drive,,1.8,Toyota,Corolla,Tonaton,132.0
68000.0,Ghanaian Used,Automatic,SUV,Petrol,2012,110000.0,All-Wheel Drive,300.0,3.5,Acura,MDX,Tonaton,300.0
69000.0,Ghanaian Used,Automatic,,Petrol,2013,,Four-Wheel Drive,260.0,3.5,Nissan,Pathfinder,Tonaton,260.0
710000.0,Foreign Used,Automatic,SUV,Petrol,2019,67073.0,Four-Wheel Drive,380.0,3.0,Land Rover,Range Rover Sport,Tonaton,380.0
800000.0,Foreign Used,Automatic,,Petrol,2019,,,,,Land Rover,Range Rover,Tonaton,
190000.0,Foreign Used,Automatic,Convertible,Petrol,2017,42000.0,Rear-Wheel Drive,310.0,2.3,Ford,Mustang,Tonaton,310.0
350000.0,Foreign Used,Automatic,,Petrol,2018,26000.0,,,2.0,Mercedes-Benz,E300,Tonaton,
285000.0,Ghanaian Used,Automatic,,Petrol,2014,17000.0,,,,Land Rover,Range Rover,Tonaton,
65000.0,Foreign Used,Automatic,,Petrol,2013,78000.0,,,2.5,Nissan,Altima,Tonaton,182.0
230000.0,Ghanaian Used,Automatic,,Petrol,2012,72000.0,,,,Infiniti,QX56,Tonaton,
245000.0,Foreign Used,Automatic,SUV,Petrol,2019,,All-Wheel Drive,185.0,2.4,Kia,Sorento,Tonaton,185.0
71000.0,Foreign Used,Automatic,Coupe,Petrol,2013,,Front-Wheel Drive,,1.8,Hyundai,Elantra,Tonaton,147.0
465000.0,Foreign Used,Automatic,Pickup,Petrol,2018,21600.0,Four-Wheel Drive,325.0,2.7,Ford,F-150,Tonaton,325.0
88000.0,Foreign Used,Automatic,Sedan,Petrol,2012,97611.0,Rear-Wheel Drive,338.0,3.8,Hyundai,Genesis,Tonaton,338.0
300000.0,Ghanaian Used,Automatic,,Petrol,2018,,,,,Lexus,RX 350,Tonaton,
640000.0,Ghanaian Used,Automatic,,Petrol,2021,15000.0,,,,Infiniti,QX80,Tonaton,
385000.0,Foreign Used,Automatic,SUV,Petrol,2020,18677.0,All-Wheel Drive,272.0,2.0,Acura,RDX,Tonaton,272.0
230000.0,Foreign Used,Automatic,SUV,Petrol,2019,45380.0,Front-Wheel Drive,190.0,1.5,Honda,CR-V,Tonaton,190.0
58500.0,Ghanaian Used,Automatic,Sedan,Petrol,2010,77580.0,Front-Wheel Drive,142.0,2.0,Nissan,Sentra,Tonaton,142.0
115000.0,Ghanaian Used,Automatic,SUV,Petrol,2015,78680.0,All-Wheel Drive,182.0,2.4,Hyundai,Tucson,Tonaton,182.0
330000.0,Foreign Used,Automatic,SUV,Petrol,2016,63045.0,All-Wheel Drive,340.0,3.0,Land Rover,Range Rover Sport,Tonaton,340.0
110000.0,Foreign Used,Automatic,,Petrol,2011,,,,,Hyundai,Starex,Tonaton,
950000.0,Foreign Used,Automatic,,Petrol,2019,14000.0,,,,Land Rover,Range Rover Vogue,Tonaton,
365000.0,Foreign Used,Automatic,Sedan,Petrol,2017,32261.0,All-Wheel Drive,,2.0,Mercedes-Benz,E300,Tonaton,
75000.0,Foreign Used,Automatic,Sedan,Petrol,2013,,Front-Wheel Drive,,1.8,Hyundai,Elantra,Tonaton,147.0
485000.0,Foreign Used,Automatic,,Petrol,2019,32000.0,,,3.5,Lexus,RX,Tonaton,295.0
685000.0,Foreign Used,Automatic,,Petrol,2018,48000.0,,,,Land Rover,Range Rover Velar,Tonaton,
650000.0,Foreign Used,Automatic,,Petrol,2018,32000.0,,,,Land Rover,Range Rover Velar,Tonaton,
285000.0,Foreign Used,Automatic,,Petrol,2016,81000.0,,,2.0,Mercedes-Benz,C300,Tonaton,241.0
630000.0,Ghanaian Used,Automatic,,Petrol,2017,38000.0,,,,Mercedes-Benz,GLE43,Tonaton,
1687500.0,Foreign Used,Automatic,SUV,Petrol,2022,50.0,All-Wheel Drive,240.0,4.0,Toyota,Land Cruiser,Tonaton,240.0
1350000.0,Foreign Used,Automatic,,Petrol,2019,,,,,Land Rover,Range Rover Vogue,Tonaton,
1520000.0,Foreign Used,Automatic,SUV,Petrol,2018,24479.0,All-Wheel Drive,585.0,4.0,Mercedes-Benz,G-Class,Tonaton,585.0
3100000.0,Foreign Used,Automatic,,Petrol,2020,1042.0,,,,Mercedes-Benz,VS680L Maybach,Tonaton,
650000.0,Foreign Used,Automatic,,Petrol,2021,6474.0,,,3.6,Jeep,Wrangler,Tonaton,285.0
435000.0,Ghanaian Used,Automatic,Sedan,Petrol,2017,49055.0,All-Wheel Drive,,3.0,Mercedes-Benz,C43,Tonaton,
62000.0,Foreign Used,Manual,,Petrol,2012,120000.0,,,,Daewoo,Labo,Tonaton,
150000.0,Foreign Used,Automatic,Van/Minivan,Petrol,2013,48100.0,Front-Wheel Drive,260.0,3.5,Nissan,Quest,Tonaton,260.0
385000.0,Foreign Used,Automatic,,Petrol,2020,46639.0,,,2.0,Mercedes-Benz,C300,Tonaton,241.0
525000.0,Foreign Used,Automatic,SUV,Petrol,2020,,All-Wheel Drive,295.0,3.5,Toyota,Highlander,Tonaton,295.0
185000.0,Foreign Used,Automatic,,Petrol,2019,56000.0,,,2.4,Mitsubishi,Outlander,Tonaton,166.0
120000.0,Foreign Used,Automatic,Sedan,Petrol,2016,,Front-Wheel Drive,178.0,2.5,Toyota,Camry,Tonaton,178.0
800000.0,Foreign Used,Automatic,SUV,Petrol,2020,4011.0,Four-Wheel Drive,254.0,3.0,Land Rover,Range Rover Sport,Tonaton,254.0
160000.0,Foreign Used,Automatic,,Petrol,2016,78000.0,,,2.5,Toyota,RAV4,Tonaton,176.0
315000.0,Foreign Used,Automatic,,Petrol,2017,,,,1.5,Honda,CR-V,Tonaton,190.0
